make,model,body_type,engine_l,power_kw,gross_mass_kg,fuel_use_l_per_100km
ALFA ROMEO,GIULIA,SPORTS CAR,1.995,206,2060,6.1
ALFA ROMEO,STELVIO,STATION WAGON,1.995,206,2060,7
ALFA ROMEO,STELVIO,STATION WAGON,1.995,206,2350,7
ASTON MARTIN,DB2,CONVERTIBLE,3.982,500,2360,12.2
ASTON MARTIN,DB2,SPORTS CAR,3.982,500,2260,12.2
ASTON MARTIN,DBX,STATION WAGON,3.982,520,2960,13.5
ASTON MARTIN,DBX,STATION WAGON,3.982,520,2960,14.2
ASTON MARTIN,VANQUISH,CONVERTIBLE,5.204,614,2410,14.1
ASTON MARTIN,VANQUISH,SPORTS CAR,5.204,614,2315,13.7
ASTON MARTIN,VANTAGE,CONVERTIBLE,3.982,489,2115,12.3
ASTON MARTIN,VANTAGE,SPORTS CAR,3.982,489,2060,12.1
AUDI,A1,HATCHBACK,1.498,110,1710,5.7
AUDI,A1,HATCHBACK,1.498,110,1710,6
AUDI,A3,HATCHBACK,1.498,110,1835,5.8
AUDI,A3,HATCHBACK,1.498,110,1880,5.6
AUDI,A3,HATCHBACK,1.984,245,2035,8.5
AUDI,A3,HATCHBACK,2.48,294,2055,9.1
AUDI,Q2,STATION WAGON,1.498,110,1870,6.1
AUDI,Q2,STATION WAGON,1.498,110,1870,6.2
AUDI,Q2,STATION WAGON,1.984,140,2045,7.3
AUDI,Q2,STATION WAGON,1.984,140,2045,7.5
AUDI,Q2,STATION WAGON,1.984,221,2060,8.2
AUDI,Q2,STATION WAGON,1.984,221,2060,8.4
AUDI,Q2,STATION WAGON,1.984,221,2060,8.5
AUDI,Q3,STATION WAGON,1.395,110,2015,7.2
AUDI,Q3,STATION WAGON,1.395,110,2050,7.2
AUDI,Q3,STATION WAGON,1.984,180,1695,7.1
AUDI,Q3,STATION WAGON,1.984,180,2160,8.9
AUDI,Q3,STATION WAGON,1.984,180,2205,8.7
AUDI,Q3,STATION WAGON,1.984,180,2205,8.9
AUDI,Q5,STATION WAGON,1.984,150,2440,8
AUDI,Q5,STATION WAGON,1.984,183,2450,8
AUDI,Q7,STATION WAGON,3.996,373,3095,12.1
AUDI,Q7,STATION WAGON,3.996,373,3095,12.4
AUDI,Q8,STATION WAGON,2.995,250,2830,10.3
AUDI,Q8,STATION WAGON,2.995,250,2830,10.4
AUDI,Q8,STATION WAGON,3.996,373,2960,12.1
AUDI,Q8,STATION WAGON,3.996,373,2960,12.5
AUDI,Q8,STATION WAGON,3.996,441,3015,12.1
AUDI,Q8,STATION WAGON,3.996,471,3015,12.2
AUDI,Q8,STATION WAGON,3.996,471,3015,13.4
AUDI,RS3,HATCHBACK,2.48,294,2055,8.9
AUDI,RS3,HATCHBACK,2.48,294,2055,9.1
AUDI,RS4,STATION WAGON,2.894,331,2350,9.5
AUDI,RS6,STATION WAGON,3.996,463,2740,12.2
AUDI,S3,HATCHBACK,1.984,245,2035,8.4
BAIC,B30,HATCHBACK,1.498,138,2034,8
BAIC,X55,HATCHBACK,1.498,138,1970,8
BENTLEY,BENTAYGA,STATION WAGON,3.996,404,3250,12.3
BENTLEY,BENTAYGA,STATION WAGON,3.996,404,3250,12.4
